# long name: HST ACS WFC F555W
# name: F555W
# flux zero point (erg/cm2/s/A): 3.819e-9
# mean wavelength (A): 5397.53
4.444000000000000000e+03 3.707527797971905010e-05
4.445000000000000000e+03 3.883150047390198029e-05
4.446000000000000000e+03 4.058801636902190638e-05
4.447000000000000000e+03 4.234471044104450114e-05
4.448000000000000000e+03 4.410165468966677438e-05
4.449000000000000000e+03 4.585871468891076808e-05
4.450000000000000000e+03 4.761618322240660655e-05
4.451000000000000000e+03 4.936661042844305101e-05
4.452000000000000000e+03 5.111681774829240373e-05
4.453000000000000000e+03 5.286676659706489198e-05
4.454000000000000000e+03 5.461636282660002953e-05
4.455000000000000000e+03 5.636567969084678431e-05
4.456000000000000000e+03 5.811478729770688589e-05
4.457000000000000000e+03 5.986354624912855748e-05
4.458000000000000000e+03 6.161202453133374365e-05
4.459000000000000000e+03 6.336022651628510230e-05
4.460000000000000000e+03 6.510806820334874470e-05
4.461000000000000000e+03 6.686490882772862525e-05
4.462000000000000000e+03 6.862154268803091252e-05
4.463000000000000000e+03 7.037870150272046486e-05
4.464000000000000000e+03 7.213587995854415461e-05
4.465000000000000000e+03 7.389325530787854940e-05
4.466000000000000000e+03 7.565082782152067877e-05
4.467000000000000000e+03 7.740858015646067487e-05
4.468000000000000000e+03 7.916651738913956849e-05
4.469000000000000000e+03 8.092466354194897949e-05
4.470000000000000000e+03 8.268299460129377259e-05
4.471000000000000000e+03 8.443274578172669208e-05
4.472000000000000000e+03 8.618219758417784238e-05
4.473000000000000000e+03 8.793147560692464806e-05
4.474000000000000000e+03 8.968069564859993098e-05
4.475000000000000000e+03 9.142973290619631210e-05
4.476000000000000000e+03 9.317847370431527011e-05
4.477000000000000000e+03 9.492704784113443638e-05
4.478000000000000000e+03 9.667553653422735740e-05
4.479000000000000000e+03 9.842363126322927348e-05
4.480000000000000000e+03 1.001717760424107665e-04
4.481000000000000000e+03 1.074586147932364344e-04
4.482000000000000000e+03 1.147439025354809848e-04
4.483000000000000000e+03 1.220275500517005468e-04
4.484000000000000000e+03 1.293092063064306841e-04
4.485000000000000000e+03 1.365894971586517604e-04
4.486000000000000000e+03 1.438679833367128885e-04
4.487000000000000000e+03 1.511447565469149605e-04
4.488000000000000000e+03 1.584200506723535925e-04
4.489000000000000000e+03 1.656930884672703618e-04
4.490000000000000000e+03 1.729650235017480414e-04
4.491000000000000000e+03 1.802509471884995262e-04
4.492000000000000000e+03 1.875369255206330889e-04
4.493000000000000000e+03 1.948221243012989215e-04
4.494000000000000000e+03 2.021071243313895388e-04
4.495000000000000000e+03 2.093909778299549997e-04
4.496000000000000000e+03 2.166757067759671738e-04
4.497000000000000000e+03 2.239589978577227606e-04
4.498000000000000000e+03 2.312421464438995343e-04
4.499000000000000000e+03 2.385251780067333335e-04
4.500000000000000000e+03 2.458069627845888678e-04
4.501000000000000000e+03 2.530676517032161266e-04
4.502000000000000000e+03 2.603264347220522615e-04
4.503000000000000000e+03 2.675835516184787077e-04
4.504000000000000000e+03 2.748383749845975318e-04
4.505000000000000000e+03 2.820925206780083676e-04
4.506000000000000000e+03 2.893439600106943775e-04
4.507000000000000000e+03 2.965944772873326083e-04
4.508000000000000000e+03 3.038429532453079608e-04
4.509000000000000000e+03 3.110898070728424381e-04
4.510000000000000000e+03 3.183349447643410652e-04
4.511000000000000000e+03 3.255884141290280812e-04
4.512000000000000000e+03 3.328402761410087052e-04
4.513000000000000000e+03 3.400913297759736663e-04
4.514000000000000000e+03 3.473410491522398755e-04
4.515000000000000000e+03 3.545892116082612305e-04
4.516000000000000000e+03 3.618365366650672403e-04
4.517000000000000000e+03 3.690830479241012955e-04
4.518000000000000000e+03 3.763265445340739342e-04
4.519000000000000000e+03 3.835696830945669136e-04
4.520000000000000000e+03 3.908120413242122115e-04
4.521000000000000000e+03 4.158473345098790026e-04
4.522000000000000000e+03 4.408844620596402263e-04
4.523000000000000000e+03 4.659224508941026697e-04
4.524000000000000000e+03 4.909605983921186542e-04
4.525000000000000000e+03 5.160001300403457532e-04
4.526000000000000000e+03 5.410405204797946906e-04
4.527000000000000000e+03 5.660810447559672326e-04
4.528000000000000000e+03 5.911224165743396083e-04
4.529000000000000000e+03 6.161643657315764170e-04
4.530000000000000000e+03 6.412078882564595716e-04
4.531000000000000000e+03 6.661702639738280394e-04
4.532000000000000000e+03 6.911272818047225000e-04
4.533000000000000000e+03 7.160780170957040678e-04
4.534000000000000000e+03 7.410232694598426189e-04
4.535000000000000000e+03 7.659640755107752046e-04
4.536000000000000000e+03 7.908994506750692760e-04
4.537000000000000000e+03 8.158285834432289470e-04
4.538000000000000000e+03 8.407512011225006399e-04
4.539000000000000000e+03 8.656704187605686720e-04
4.540000000000000000e+03 8.905842561404059060e-04
4.541000000000000000e+03 9.155359104656664911e-04
4.542000000000000000e+03 9.404902914845542561e-04
4.543000000000000000e+03 9.654409062346229605e-04
4.544000000000000000e+03 9.903850454749359763e-04
4.545000000000000000e+03 1.015328350205566606e-03
4.546000000000000000e+03 1.040266562098551058e-03
4.547000000000000000e+03 1.065205570620044546e-03
4.548000000000000000e+03 1.090137875467694353e-03
4.549000000000000000e+03 1.115071146614833369e-03
4.550000000000000000e+03 1.139997442470990635e-03
4.551000000000000000e+03 1.164787117967562829e-03
4.552000000000000000e+03 1.189566554200745165e-03
4.553000000000000000e+03 1.214338965868625667e-03
4.554000000000000000e+03 1.239102487718783067e-03
4.555000000000000000e+03 1.263855575661419501e-03
4.556000000000000000e+03 1.288600372393715028e-03
4.557000000000000000e+03 1.313339391938406382e-03
4.558000000000000000e+03 1.338066315183842302e-03
4.559000000000000000e+03 1.362784459705788107e-03
4.560000000000000000e+03 1.387494139719423281e-03
4.561000000000000000e+03 1.511872970797246453e-03
4.562000000000000000e+03 1.636244116507827497e-03
4.563000000000000000e+03 1.760618610382811604e-03
4.564000000000000000e+03 1.884989716988412110e-03
4.565000000000000000e+03 2.009355743967670017e-03
4.566000000000000000e+03 2.133719669751540753e-03
4.567000000000000000e+03 2.258086669764114689e-03
4.568000000000000000e+03 2.382442840006062778e-03
4.569000000000000000e+03 2.506799856339621269e-03
4.570000000000000000e+03 2.631157048055552446e-03
4.571000000000000000e+03 2.755211855303431410e-03
4.572000000000000000e+03 2.879237625203588755e-03
4.573000000000000000e+03 3.003226873346525640e-03
4.574000000000000000e+03 3.127201665042053137e-03
4.575000000000000000e+03 3.251131322544289440e-03
4.576000000000000000e+03 3.375039513419422679e-03
4.577000000000000000e+03 3.498914705569275852e-03
4.578000000000000000e+03 3.622763906143583543e-03
4.579000000000000000e+03 3.746584920522140136e-03
4.580000000000000000e+03 3.870365837052890719e-03
4.581000000000000000e+03 4.003950978255840960e-03
4.582000000000000000e+03 4.137495228057569939e-03
4.583000000000000000e+03 4.271012066716760834e-03
4.584000000000000000e+03 4.404487360719967250e-03
4.585000000000000000e+03 4.537926463875106148e-03
4.586000000000000000e+03 4.671329049554627869e-03
4.587000000000000000e+03 4.804689293012817143e-03
4.588000000000000000e+03 4.938013063554335183e-03
4.589000000000000000e+03 5.071304996800332816e-03
4.590000000000000000e+03 5.204554841869375552e-03
4.591000000000000000e+03 5.373952523544519785e-03
4.592000000000000000e+03 5.543353080123140757e-03
4.593000000000000000e+03 5.712757946580975660e-03
4.594000000000000000e+03 5.882138371707000546e-03
4.595000000000000000e+03 6.051545619596566082e-03
4.596000000000000000e+03 6.220927145203032117e-03
4.597000000000000000e+03 6.390304728415598969e-03
4.598000000000000000e+03 6.559678820125995104e-03
4.599000000000000000e+03 6.729050432061457233e-03
4.600000000000000000e+03 6.898425902170347672e-03
4.601000000000000000e+03 7.131892173162028906e-03
4.602000000000000000e+03 7.365314497671875474e-03
4.603000000000000000e+03 7.598702844870290629e-03
4.604000000000000000e+03 7.832046585054644114e-03
4.605000000000000000e+03 8.065364960681116469e-03
4.606000000000000000e+03 8.298639333157451295e-03
4.607000000000000000e+03 8.531867607996915237e-03
4.608000000000000000e+03 8.765082055650618223e-03
4.609000000000000000e+03 8.998251034466577675e-03
4.610000000000000000e+03 9.231407233619530472e-03
4.611000000000000000e+03 9.524340389093909065e-03
4.612000000000000000e+03 9.817176951371651972e-03
4.613000000000000000e+03 1.010993254024453343e-02
4.614000000000000000e+03 1.040261527511548295e-02
4.615000000000000000e+03 1.069522849345985738e-02
4.616000000000000000e+03 1.098774585744093958e-02
4.617000000000000000e+03 1.128015091632978729e-02
4.618000000000000000e+03 1.157251584501386814e-02
4.619000000000000000e+03 1.186476857352167236e-02
4.620000000000000000e+03 1.215693817624898497e-02
4.621000000000000000e+03 1.254337298044252633e-02
4.622000000000000000e+03 1.292979529150074108e-02
4.623000000000000000e+03 1.331624839073773658e-02
4.624000000000000000e+03 1.370269878213761262e-02
4.625000000000000000e+03 1.408910034946139755e-02
4.626000000000000000e+03 1.447556954697084251e-02
4.627000000000000000e+03 1.486194890793820361e-02
4.628000000000000000e+03 1.524836286195698463e-02
4.629000000000000000e+03 1.563481311073777746e-02
4.630000000000000000e+03 1.602122607951491501e-02
4.631000000000000000e+03 1.649833056397887604e-02
4.632000000000000000e+03 1.697534777345380275e-02
4.633000000000000000e+03 1.745218732631267575e-02
4.634000000000000000e+03 1.792900376510614402e-02
4.635000000000000000e+03 1.840566507633532162e-02
4.636000000000000000e+03 1.888216911505024090e-02
4.637000000000000000e+03 1.935860907713650436e-02
4.638000000000000000e+03 1.983493310939999851e-02
4.639000000000000000e+03 2.031109632219230479e-02
4.640000000000000000e+03 2.078722105557159749e-02
4.641000000000000000e+03 2.139282753971158066e-02
4.642000000000000000e+03 2.199831536795963244e-02
4.643000000000000000e+03 2.260374857499005546e-02
4.644000000000000000e+03 2.320905964411188252e-02
4.645000000000000000e+03 2.381437908772597936e-02
4.646000000000000000e+03 2.441951479513134599e-02
4.647000000000000000e+03 2.502456720586106881e-02
4.648000000000000000e+03 2.562955995394337189e-02
4.649000000000000000e+03 2.623446529407401015e-02
4.650000000000000000e+03 2.683928318655888490e-02
4.651000000000000000e+03 2.758504573582276631e-02
4.652000000000000000e+03 2.833079659762094762e-02
4.653000000000000000e+03 2.907642716738598546e-02
4.654000000000000000e+03 2.982190958763696401e-02
4.655000000000000000e+03 3.056741232251379212e-02
4.656000000000000000e+03 3.131275607116211501e-02
4.657000000000000000e+03 3.205805646412727278e-02
4.658000000000000000e+03 3.280323946952271724e-02
4.659000000000000000e+03 3.354840926380581179e-02
4.660000000000000000e+03 3.429342016709623076e-02
4.661000000000000000e+03 3.515981048360432293e-02
4.662000000000000000e+03 3.602605654574542876e-02
4.663000000000000000e+03 3.689229929950875453e-02
4.664000000000000000e+03 3.775848801081192752e-02
4.665000000000000000e+03 3.862462537911923177e-02
4.666000000000000000e+03 3.949076213808046937e-02
4.667000000000000000e+03 4.035674598844288946e-02
4.668000000000000000e+03 4.122268554777500787e-02
4.669000000000000000e+03 4.208861638264569521e-02
4.670000000000000000e+03 4.295450224654765586e-02
4.671000000000000000e+03 4.391529495491861695e-02
4.672000000000000000e+03 4.487598058927659561e-02
4.673000000000000000e+03 4.583654247719047559e-02
4.674000000000000000e+03 4.679694126925461328e-02
4.675000000000000000e+03 4.775727522202670439e-02
4.676000000000000000e+03 4.871754391673092932e-02
4.677000000000000000e+03 4.967758141421603491e-02
4.678000000000000000e+03 5.063762977288995687e-02
4.679000000000000000e+03 5.159736877063247212e-02
4.680000000000000000e+03 5.255711726719112381e-02
4.681000000000000000e+03 5.367780515892776189e-02
4.682000000000000000e+03 5.479858810563548177e-02
4.683000000000000000e+03 5.591919983054417093e-02
4.684000000000000000e+03 5.703948967369344009e-02
4.685000000000000000e+03 5.815988890137645251e-02
4.686000000000000000e+03 5.928002960789636316e-02
4.687000000000000000e+03 6.040013596104366195e-02
4.688000000000000000e+03 6.152012856570347743e-02
4.689000000000000000e+03 6.263994087384744391e-02
4.690000000000000000e+03 6.375971844107956865e-02
